1,INR,USD,12-01-2018,1000
2,MYR,USD,12-01-2018,1000
3,MYR,MYR,12-01-2018,3333
4,MYR,USD,12-01-2018,34343
5,INR,INR,12-01-2018,1000
6,INR,USD,,2000
7,INR,MYR,12-01-2018,1000
8,INR,USD,12-01-2018,1000
9,INR,INR,12-01-2018,1000
10,INR,MYR,12-01-2018,1000
11,INR,USD,12-01-2018,1000
12,INR,USD,12-01-2018,1000
13,INR,MYR,12-01-2018,1000
14,INR,INR,12-01-2018,1000
15,MYR,,12-01-2018,1000
16,INR,USD,12-01-2018,1000
17,EURO,USD,,1000
18,INR,USD,12-01-2018,1000
19,INR,USD,12-01-2018,1000
20,USD,MYR,,1000
21,INR,USD,12-01-2018,1000
22,INR,USD,12-01-2018,1001
23,MYR,USD,12-01-2018,1002
24,MYR,MYR,12-01-2018,1003
25,MYR,USD,12-01-2018,1004
26,INR,INR,12-01-2018,1005
27,INR,USD,,1006
28,INR,MYR,12-01-2018,1007
29,INR,USD,12-01-2018,1008
30,INR,INR,12-01-2018,1009
31,INR,MYR,12-01-2018,1010
32,INR,USD,12-01-2018,1011
33,INR,USD,12-01-2018,1012
34,INR,MYR,12-01-2018,1013
35,INR,INR,12-01-2018,1014
36,MYR,,12-01-2018,1015
37,INR,USD,12-01-2018,1016
38,EURO,USD,,1017
39,INR,USD,12-01-2018,1018
40,INR,USD,12-01-2018,1019
41,USD,MYR,,1020
42,INR,USD,12-01-2018,1021
43,INR,USD,12-01-2018,1022
44,MYR,USD,12-01-2018,1023
45,MYR,MYR,12-01-2018,1024
46,MYR,USD,12-01-2018,1025
47,INR,INR,12-01-2018,1026
48,INR,USD,,1027
49,INR,MYR,12-01-2018,1028
50,INR,USD,12-01-2018,1029
51,INR,INR,12-01-2018,1030
52,INR,MYR,12-01-2018,1031
53,INR,USD,12-01-2018,1032
54,INR,USD,12-01-2018,1033
55,INR,MYR,12-01-2018,1034
56,INR,INR,12-01-2018,1035
57,MYR,,12-01-2018,1036
58,INR,USD,12-01-2018,1037
59,EURO,USD,,1038
60,INR,USD,12-01-2018,1039
61,INR,USD,12-01-2018,1040
62,USD,MYR,,1041
63,INR,USD,12-01-2018,1042
64,INR,USD,12-01-2018,1043
65,MYR,USD,12-01-2018,1044
66,MYR,MYR,12-01-2018,1045
67,MYR,USD,12-01-2018,1046
68,INR,INR,12-01-2018,1047
69,INR,USD,,1048
70,INR,MYR,12-01-2018,1049
71,INR,USD,12-01-2018,1050
72,INR,INR,12-01-2018,1051
73,INR,MYR,12-01-2018,1052
74,INR,USD,12-01-2018,1053
75,INR,USD,12-01-2018,1054
76,INR,MYR,12-01-2018,1055
77,INR,INR,12-01-2018,1056
78,MYR,,12-01-2018,1057
79,INR,USD,12-01-2018,1058
80,EURO,USD,,1059
81,INR,USD,12-01-2018,1060
82,INR,USD,12-01-2018,1061
83,USD,MYR,,1062
84,INR,USD,12-01-2018,1063
85,INR,USD,12-01-2018,1064
86,MYR,USD,12-01-2018,1065
87,MYR,MYR,12-01-2018,1066
88,MYR,USD,12-01-2018,1067
89,INR,INR,12-01-2018,1068
90,INR,USD,,1069
91,INR,MYR,12-01-2018,1070
92,INR,USD,12-01-2018,1071
93,INR,INR,12-01-2018,1072
94,INR,MYR,12-01-2018,1073
95,INR,USD,12-01-2018,1074
96,INR,USD,12-01-2018,1075
97,INR,MYR,12-01-2018,1076
98,INR,INR,12-01-2018,1077
99,MYR,,12-01-2018,1078
100,INR,USD,12-01-2018,1079
101,EURO,USD,,1080
102,INR,USD,12-01-2018,1081
103,INR,USD,12-01-2018,1082
104,USD,MYR,,1083
105,INR,USD,12-01-2018,1084
106,INR,USD,12-01-2018,1085
107,MYR,USD,12-01-2018,1086
108,MYR,MYR,12-01-2018,1087
109,MYR,USD,12-01-2018,1088
110,INR,INR,12-01-2018,1089
111,INR,USD,,1090
112,INR,MYR,12-01-2018,1091
113,INR,USD,12-01-2018,1092
